Akun,Degree_Centrality,Betweenness_Centrality,Eigenvector_Centrality
jntexpressid,0.2610571736785329,0.0008410977607228315,0.6826878856423119
ShopeeID,0.02804746494066882,0.00013979464167138472,0.00012765304683057447
pln_123,0.010787486515641855,1.863928555618463e-05,1.7119611220802795e-10
fsaidhamzah,0.02804746494066882,1.3979464167138473e-05,1.5956634182635125e-05
Telkomsel,0.007551240560949298,1.3979464167138473e-05,2.5489198928750835e-10
JNECare,0.01186623516720604,1.0484598125353855e-05,8.750023512854765e-11
MediaKonsumenID,0.005393743257820927,6.989732083569236e-06,8.750023512854765e-11
wiyantokdr54,0.020496224379719524,5.8247767363076974e-06,1.5956634182635125e-05
shin_977,0.002157497303128371,4.659821389046158e-06,8.750023512854765e-11
tekarok007,0.0032362459546925564,2.329910694523079e-06,8.750023512854765e-11
OmJ_J3Nggott,0.002157497303128371,1.1649553472615394e-06,8.750023512854765e-11
ostakancaka,0.0010787486515641855,0.0,3.804358049067289e-12
ALD1_official,0.0010787486515641855,0.0,8.750023512854765e-11
indriraaaa,0.0032362459546925564,0.0,3.804358049067289e-12
Naiyanaa_W,0.0010787486515641855,0.0,8.750023512854765e-11
intanpayooong,0.0010787486515641855,0.0,3.804358049067289e-12
MuhammadTuhasan,0.0010787486515641855,0.0,8.750023512854765e-11
MisnaWTB,0.0010787486515641855,0.0,3.804358049067289e-12
gambarmasjamu,0.0010787486515641855,0.0,8.750023512854765e-11
Sunghooin,0.0010787486515641855,0.0,8.750023512854765e-11
Ikeser_Melokal,0.0010787486515641855,0.0,8.750023512854765e-11
ALD1staff,0.0010787486515641855,0.0,8.750023512854765e-11
sulkytiger,0.0010787486515641855,0.0,8.750023512854765e-11
ivangoyat,0.0032362459546925564,0.0,3.804358049067289e-12
riekediahp,0.0010787486515641855,0.0,8.750023512854765e-11
KomnasHAM,0.0010787486515641855,0.0,8.750023512854765e-11
KomnasPerempuan,0.0010787486515641855,0.0,8.750023512854765e-11
SS1574597214037,0.0010787486515641855,0.0,3.804358049067289e-12
BBCIndonesia,0.0010787486515641855,0.0,8.750023512854765e-11
LimaWaluSara,0.0010787486515641855,0.0,3.804358049067289e-12
TimelineIDN,0.0010787486515641855,0.0,8.750023512854765e-11
mafavjk,0.0010787486515641855,0.0,3.804358049067289e-12
ulankeiko86,0.0010787486515641855,0.0,8.750023512854765e-11
ThamShiel,0.0010787486515641855,0.0,3.804358049067289e-12
mie_di_kocok,0.0010787486515641855,0.0,8.750023512854765e-11
Libnghe,0.002157497303128371,0.0,3.804358049067289e-12
belleunjiya,0.0010787486515641855,0.0,8.750023512854765e-11
kamarlintang,0.002157497303128371,0.0,1.7119611220802795e-10
saelililili,0.0010787486515641855,0.0,3.804358049067289e-12
gagahmei,0.0010787486515641855,0.0,8.750023512854765e-11
PulaumorotaiB,0.0010787486515641855,0.0,3.804358049067289e-12
klubpompi,0.0010787486515641855,0.0,8.750023512854765e-11
Babyhoneysuga,0.0010787486515641855,0.0,3.804358049067289e-12
omegaenambaik,0.002157497303128371,0.0,3.804358049067289e-12
detailofkookv,0.0010787486515641855,0.0,8.750023512854765e-11
Saturnaethra,0.0010787486515641855,0.0,3.804358049067289e-12
zeiazii,0.0010787486515641855,0.0,8.750023512854765e-11
ArtOfMadLee,0.0010787486515641855,0.0,3.804358049067289e-12
hunniezil,0.0010787486515641855,0.0,3.804358049067289e-12
barcastuff_idn,0.002157497303128371,0.0,1.7119611220802795e-10
M0N0LOGUES,0.0032362459546925564,0.0,3.804358049067289e-12
damariuel,0.0010787486515641855,0.0,8.750023512854765e-11
S0HWNU,0.0010787486515641855,0.0,8.750023512854765e-11
SH0WNUAY0,0.0010787486515641855,0.0,8.750023512854765e-11
OnixRock1902,0.0032362459546925564,0.0,3.804358049067289e-12
xpejuangsepi,0.0010787486515641855,0.0,8.750023512854765e-11
KWijono,0.0010787486515641855,0.0,8.750023512854765e-11
jokowi,0.0032362459546925564,0.0,3.191334825678928e-05
xxtrophile,0.0010787486515641855,0.0,3.804358049067289e-12
oathofpoetry,0.0010787486515641855,0.0,8.750023512854765e-11
DedynurPalakka,0.0010787486515641855,0.0,8.750023512854765e-11
MasamiRogers,0.0010787486515641855,0.0,3.804358049067289e-12
azuchis_kitsune,0.0010787486515641855,0.0,3.804358049067289e-12
lanangwn,0.0010787486515641855,0.0,8.750023512854765e-11
Seph_Bimo,0.0010787486515641855,0.0,8.750023512854765e-11
KjwObokfighting,0.002157497303128371,0.0,3.804358049067289e-12
shinswave,0.0010787486515641855,0.0,8.750023512854765e-11
bolosimbok,0.0010787486515641855,0.0,8.750023512854765e-11
MeilanieAnneth,0.0010787486515641855,0.0,3.804358049067289e-12
biduanssa,0.0010787486515641855,0.0,3.804358049067289e-12
hen0ch,0.0010787486515641855,0.0,8.750023512854765e-11
zatie_nn,0.0010787486515641855,0.0,3.804358049067289e-12
RTesebelah21,0.0010787486515641855,0.0,8.750023512854765e-11
Hello_kopi,0.0010787486515641855,0.0,3.804358049067289e-12
unkwntyrsy,0.0010787486515641855,0.0,3.804358049067289e-12
baekim048,0.0010787486515641855,0.0,8.750023512854765e-11
Cinddoyy,0.0010787486515641855,0.0,3.804358049067289e-12
strawberryuniie,0.0010787486515641855,0.0,8.750023512854765e-11
hooliganbdg,0.002157497303128371,0.0,3.804358049067289e-12
kusuumagusti,0.0010787486515641855,0.0,8.750023512854765e-11
persib,0.0010787486515641855,0.0,8.750023512854765e-11
SirJohnFastolf,0.0010787486515641855,0.0,3.804358049067289e-12
bbarbieie,0.0010787486515641855,0.0,8.750023512854765e-11
akunugrahaa,0.0010787486515641855,0.0,3.804358049067289e-12
Jakartalk,0.0010787486515641855,0.0,8.750023512854765e-11
lingua101,0.0010787486515641855,0.0,3.804358049067289e-12
catatanruh,0.0010787486515641855,0.0,3.804358049067289e-12
lvttel,0.0010787486515641855,0.0,8.750023512854765e-11
ciotaaa4,0.0032362459546925564,0.0,3.804358049067289e-12
bebekmendung,0.0010787486515641855,0.0,8.750023512854765e-11
Gendoet3G,0.0010787486515641855,0.0,9.663069444630914e-10
goldberrygyu,0.0010787486515641855,0.0,8.750023512854765e-11
isaIicia,0.0010787486515641855,0.0,3.804358049067289e-12
Deflictive,0.0010787486515641855,0.0,8.750023512854765e-11
lucivhoonz,0.0010787486515641855,0.0,3.804358049067289e-12
suamrembulan13,0.002157497303128371,0.0,3.804358049067289e-12
ohyulinguistik,0.0010787486515641855,0.0,3.804358049067289e-12
naayabeingnaaya,0.0010787486515641855,0.0,8.750023512854765e-11
nuttelea,0.002157497303128371,0.0,3.804358049067289e-12
odefib,0.0010787486515641855,0.0,8.750023512854765e-11
gl8ssier,0.0010787486515641855,0.0,8.750023512854765e-11
yovrfavbae,0.0010787486515641855,0.0,3.804358049067289e-12
Celesttemere,0.0010787486515641855,0.0,8.750023512854765e-11
YusiIndo,0.0010787486515641855,0.0,3.804358049067289e-12
DoankWarto,0.0010787486515641855,0.0,8.750023512854765e-11
mochramdhani24,0.0010787486515641855,0.0,3.804358049067289e-12
Ayutitaagmailc1,0.002157497303128371,0.0,1.7119611220802795e-10
Not_Anyone007,0.0032362459546925564,0.0,3.804358049067289e-12
tukangdisen,0.0010787486515641855,0.0,8.750023512854765e-11
dekayulianto,0.0010787486515641855,0.0,8.750023512854765e-11
f1speed_indo,0.002157497303128371,0.0,1.7119611220802795e-10
arsenalskitchen,0.0010787486515641855,0.0,3.804358049067289e-12
a_gunner_id,0.0010787486515641855,0.0,8.750023512854765e-11
MMblue23,0.0010787486515641855,0.0,3.804358049067289e-12
Jisunghamsters,0.0010787486515641855,0.0,8.750023512854765e-11
D_DachroN,0.0010787486515641855,0.0,3.804358049067289e-12
molvscaa_,0.0010787486515641855,0.0,8.750023512854765e-11
yslstxxib,0.0010787486515641855,0.0,3.804358049067289e-12
ctzynabluuu,0.0010787486515641855,0.0,3.804358049067289e-12
seanjogja,0.0010787486515641855,0.0,8.750023512854765e-11
Lovely_2209jy,0.0010787486515641855,0.0,3.804358049067289e-12
PENJUALMIRAZ,0.002157497303128371,0.0,3.804358049067289e-12
sofyan_juve1897,0.0010787486515641855,0.0,8.750023512854765e-11
seniman_bola,0.0010787486515641855,0.0,8.750023512854765e-11
kulipost,0.0010787486515641855,0.0,3.804358049067289e-12
dhemit_is_back,0.0010787486515641855,0.0,8.750023512854765e-11
faizcazika,0.0010787486515641855,0.0,3.804358049067289e-12
fillainart,0.0010787486515641855,0.0,8.750023512854765e-11
zyaqff_,0.0010787486515641855,0.0,3.804358049067289e-12
wakeone_offcl,0.002157497303128371,0.0,1.7119611220802795e-10
onyourb_els,0.0010787486515641855,0.0,3.804358049067289e-12
naisueu,0.0010787486515641855,0.0,8.750023512854765e-11
sukangantukk__,0.0010787486515641855,0.0,3.804358049067289e-12
KapudS640,0.005393743257820927,0.0,4.222837434464687e-10
xyenif,0.0010787486515641855,0.0,8.750023512854765e-11
halu090799,0.0010787486515641855,0.0,8.750023512854765e-11
DUYUDRANA,0.0010787486515641855,0.0,3.804358049067289e-12
Sombadra,0.0010787486515641855,0.0,8.750023512854765e-11
BhrePajang77547,0.0010787486515641855,0.0,3.804358049067289e-12
ruliemaulana,0.0010787486515641855,0.0,8.750023512854765e-11
blissofsatin,0.0010787486515641855,0.0,3.804358049067289e-12
matchamouchi,0.0010787486515641855,0.0,8.750023512854765e-11
ssasallisaa,0.0010787486515641855,0.0,3.804358049067289e-12
dilajellybaby,0.0010787486515641855,0.0,8.750023512854765e-11
HaryaWee,0.0010787486515641855,0.0,3.804358049067289e-12
ciptanna,0.0032362459546925564,0.0,3.804358049067289e-12
ellbebelac,0.0010787486515641855,0.0,8.750023512854765e-11
scftsunlightt,0.0010787486515641855,0.0,3.804358049067289e-12
guesswho2702,0.0010787486515641855,0.0,8.750023512854765e-11
sweetiemaj_,0.0010787486515641855,0.0,3.804358049067289e-12
wardigas,0.0010787486515641855,0.0,8.750023512854765e-11
libraryofrel,0.0010787486515641855,0.0,3.804358049067289e-12
saoirsoule,0.0010787486515641855,0.0,8.750023512854765e-11
sxanctuary,0.0010787486515641855,0.0,3.804358049067289e-12
taleofthehills,0.0010787486515641855,0.0,8.750023512854765e-11
Gawonre,0.0010787486515641855,0.0,3.804358049067289e-12
therevotuka,0.0010787486515641855,0.0,8.750023512854765e-11
fatheleven,0.0010787486515641855,0.0,3.804358049067289e-12
LitaaRahayu,0.002157497303128371,0.0,3.804358049067289e-12
san_ty1208,0.0010787486515641855,0.0,8.750023512854765e-11
wahyunidevi95,0.0010787486515641855,0.0,8.750023512854765e-11
dfveraq,0.0010787486515641855,0.0,3.804358049067289e-12
patrickharimo,0.002157497303128371,0.0,3.804358049067289e-12
ikithsylus,0.0010787486515641855,0.0,8.750023512854765e-11
Bsuworo,0.0010787486515641855,0.0,8.750023512854765e-11
wawo_rizal,0.0010787486515641855,0.0,3.804358049067289e-12
AdamVelcro,0.0010787486515641855,0.0,8.750023512854765e-11
Zaeldrian,0.0010787486515641855,0.0,3.804358049067289e-12
sroigne,0.0010787486515641855,0.0,8.750023512854765e-11
minsidisjamil01,0.0010787486515641855,0.0,3.804358049067289e-12
Uki23,0.0010787486515641855,0.0,8.750023512854765e-11
Xabilonia,0.002157497303128371,0.0,3.804358049067289e-12
yogie1998168091,0.0010787486515641855,0.0,8.750023512854765e-11
Chelsdays_,0.0010787486515641855,0.0,8.750023512854765e-11
Aira_labiba1721,0.0010787486515641855,0.0,3.804358049067289e-12
arararara01,0.0010787486515641855,0.0,8.750023512854765e-11
hi_shoyoo,0.0010787486515641855,0.0,3.804358049067289e-12
sstarelight,0.0010787486515641855,0.0,3.804358049067289e-12
PutriKayan16645,0.0010787486515641855,0.0,8.750023512854765e-11
negmative,0.002157497303128371,0.0,3.804358049067289e-12
gevmol,0.0010787486515641855,0.0,8.750023512854765e-11
bermuara_sayang,0.0010787486515641855,0.0,8.750023512854765e-11
KompasTV,0.0010787486515641855,0.0,8.750023512854765e-11
catchmeupco,0.0010787486515641855,0.0,8.750023512854765e-11
CNNIndonesia,0.0010787486515641855,0.0,8.750023512854765e-11
pwettyribbon,0.0010787486515641855,0.0,3.804358049067289e-12
vitojordano,0.0010787486515641855,0.0,8.750023512854765e-11
indrapebriana92,0.002157497303128371,0.0,3.804358049067289e-12
tempedotc0,0.0010787486515641855,0.0,8.750023512854765e-11
b0nnysidharta,0.0010787486515641855,0.0,8.750023512854765e-11
Penyok86_,0.0010787486515641855,0.0,3.804358049067289e-12
abulmuzaffar10,0.0010787486515641855,0.0,8.750023512854765e-11
Deans644511,0.002157497303128371,0.0,3.804358049067289e-12
FiersaBesari,0.0010787486515641855,0.0,8.750023512854765e-11
SuperGrok,0.0010787486515641855,0.0,8.750023512854765e-11
gegh_sruii,0.0010787486515641855,0.0,3.804358049067289e-12
xquitavee,0.0010787486515641855,0.0,8.750023512854765e-11
mahirusky,0.0010787486515641855,0.0,3.804358049067289e-12
xyz_baobei,0.0010787486515641855,0.0,8.750023512854765e-11
adigseaj,0.002157497303128371,0.0,3.804358049067289e-12
IDGoonerscom,0.002157497303128371,0.0,1.7119611220802795e-10
MiguelDelaney,0.0010787486515641855,0.0,8.750023512854765e-11
ciaafe,0.0010787486515641855,0.0,3.804358049067289e-12
morikow_,0.0010787486515641855,0.0,3.804358049067289e-12
widoublev,0.0010787486515641855,0.0,3.804358049067289e-12
NINGandYIZHOU,0.0010787486515641855,0.0,3.804358049067289e-12
flllowiee,0.0010787486515641855,0.0,8.750023512854765e-11
ibnu_s_rIxiiIAs,0.0032362459546925564,0.0,3.804358049067289e-12
Tan_Mar3M,0.002157497303128371,0.0,1.7119611220802795e-10
dailyraaxz,0.002157497303128371,0.0,3.804358049067289e-12
ggggjcy__,0.0010787486515641855,0.0,8.750023512854765e-11
kompascom,0.002157497303128371,0.0,1.7119611220802795e-10
binhaobeen,0.0010787486515641855,0.0,3.804358049067289e-12
snowz1120,0.0010787486515641855,0.0,8.750023512854765e-11
Wintlr,0.0010787486515641855,0.0,3.804358049067289e-12
prolly_threw_it,0.002157497303128371,0.0,1.7119611220802795e-10
TaeNyPau,0.0010787486515641855,0.0,3.804358049067289e-12
lacedinlines,0.0010787486515641855,0.0,8.750023512854765e-11
wanpichitea,0.0010787486515641855,0.0,3.804358049067289e-12
_Chryssanthemum,0.0010787486515641855,0.0,8.750023512854765e-11
sangiwons,0.002157497303128371,0.0,3.804358049067289e-12
henrysubiakto,0.0010787486515641855,0.0,8.750023512854765e-11
soujnghwan,0.0010787486515641855,0.0,8.750023512854765e-11
aziz180501,0.007551240560949298,0.0,3.804358049067289e-12
darta92414229,0.0010787486515641855,0.0,8.750023512854765e-11
SigitWasito8,0.0010787486515641855,0.0,8.750023512854765e-11
yamato46_,0.0010787486515641855,0.0,3.804358049067289e-12
MireinaRiviere,0.0010787486515641855,0.0,8.750023512854765e-11
ifranaie,0.002157497303128371,0.0,3.804358049067289e-12
MessSamPlat,0.0010787486515641855,0.0,8.750023512854765e-11
SyedAkramin,0.0010787486515641855,0.0,8.750023512854765e-11
hans_wiranda,0.0010787486515641855,0.0,3.804358049067289e-12
PaltiHutabarat,0.0010787486515641855,0.0,8.750023512854765e-11
soberiyynie,0.002157497303128371,0.0,3.804358049067289e-12
hyangthanos,0.0010787486515641855,0.0,8.750023512854765e-11
unmagnetism,0.0010787486515641855,0.0,8.750023512854765e-11
younjgyae,0.0010787486515641855,0.0,8.750023512854765e-11
UTDEve,0.0010787486515641855,0.0,8.750023512854765e-11
Goob_Goombas,0.002157497303128371,0.0,3.804358049067289e-12
TalismanGaruda1,0.0010787486515641855,0.0,8.750023512854765e-11
LembagaKERIS,0.0010787486515641855,0.0,8.750023512854765e-11
rvenslyclaw,0.0010787486515641855,0.0,3.804358049067289e-12
ChouSenka,0.0010787486515641855,0.0,8.750023512854765e-11
imnotayu_,0.0010787486515641855,0.0,9.663069444630914e-10
DambaanA,0.002157497303128371,0.0,3.804358049067289e-12
CCICPolri,0.0010787486515641855,0.0,8.750023512854765e-11
DivHumas_Polri,0.0010787486515641855,0.0,8.750023512854765e-11
asxcen,0.0010787486515641855,0.0,3.804358049067289e-12
B3doel___,0.0010787486515641855,0.0,8.750023512854765e-11
abcdenhaipen,0.0010787486515641855,0.0,3.804358049067289e-12
appaditya,0.002157497303128371,0.0,3.804358049067289e-12
lvsnskey,0.0032362459546925564,0.0,3.804358049067289e-12
woyxoung,0.0010787486515641855,0.0,8.750023512854765e-11
Nagabuah3,0.0010787486515641855,0.0,3.804358049067289e-12
TaliUdeng,0.0010787486515641855,0.0,8.750023512854765e-11
manusiayangbeg,0.0010787486515641855,0.0,8.750023512854765e-11
mar99435,0.002157497303128371,0.0,3.804358049067289e-12
ARSIPAJA,0.002157497303128371,0.0,1.7119611220802795e-10
fushitobio,0.0010787486515641855,0.0,3.804358049067289e-12
MikazukiArion,0.0010787486515641855,0.0,8.750023512854765e-11
jhyn_jedam,0.0010787486515641855,0.0,3.804358049067289e-12
treasuremenfess,0.0010787486515641855,0.0,8.750023512854765e-11
luvhesarilla,0.0032362459546925564,0.0,3.804358049067289e-12
yooleclerc,0.0010787486515641855,0.0,8.750023512854765e-11
syankara_,0.0010787486515641855,0.0,8.750023512854765e-11
AstarNetwork,0.0010787486515641855,0.0,8.750023512854765e-11
bojonedazai,0.002157497303128371,0.0,3.804358049067289e-12
bavkyard,0.0010787486515641855,0.0,8.750023512854765e-11
worksfess,0.0010787486515641855,0.0,8.750023512854765e-11
FadilahMs27,0.0032362459546925564,0.0,3.804358049067289e-12
straykilograms,0.0010787486515641855,0.0,8.750023512854765e-11
goodnice1286414,0.0010787486515641855,0.0,3.804358049067289e-12
empty__core,0.002157497303128371,0.0,1.7119611220802795e-10
sharpandshark,0.0010787486515641855,0.0,3.804358049067289e-12
bayu56769104,0.0010787486515641855,0.0,8.750023512854765e-11
dancol__,0.0010787486515641855,0.0,3.804358049067289e-12
karedd_,0.002157497303128371,0.0,3.804358049067289e-12
qgemini1906,0.0010787486515641855,0.0,8.750023512854765e-11
iyeajadeh,0.0010787486515641855,0.0,8.750023512854765e-11
aryalgaw,0.0010787486515641855,0.0,8.750023512854765e-11
MAGMAEnt,0.0010787486515641855,0.0,8.750023512854765e-11
Biyaaa_58,0.002157497303128371,0.0,3.804358049067289e-12
officialJKT48,0.002157497303128371,0.0,1.7119611220802795e-10
moshi2jkt48,0.002157497303128371,0.0,1.7119611220802795e-10
Buya_Pree_,0.0010787486515641855,0.0,3.804358049067289e-12
Mia_Kyushu,0.0010787486515641855,0.0,8.750023512854765e-11
borabuchanesu,0.0010787486515641855,0.0,3.804358049067289e-12
kuromingtis,0.0010787486515641855,0.0,8.750023512854765e-11
AbidinM12,0.002157497303128371,0.0,3.804358049067289e-12
txtdrstoryWA,0.0010787486515641855,0.0,8.750023512854765e-11
bimbelwangi,0.002157497303128371,0.0,3.804358049067289e-12
indepenSumatera,0.0010787486515641855,0.0,8.750023512854765e-11
IrsyadArif1,0.002157497303128371,0.0,3.804358049067289e-12
moviegoersphile,0.002157497303128371,0.0,3.804358049067289e-12
sinemart_ph,0.0010787486515641855,0.0,8.750023512854765e-11
SCTV,0.0010787486515641855,0.0,8.750023512854765e-11
Ayummy37,0.0010787486515641855,0.0,3.804358049067289e-12
txtfrombrand,0.0010787486515641855,0.0,8.750023512854765e-11
rajapeanutbuter,0.0010787486515641855,0.0,3.804358049067289e-12
mhuseinali,0.0010787486515641855,0.0,8.750023512854765e-11
minsugar__,0.0010787486515641855,0.0,3.804358049067289e-12
18fesss,0.0010787486515641855,0.0,8.750023512854765e-11
DoomCaptai87703,0.0010787486515641855,0.0,3.804358049067289e-12
isboygood,0.0010787486515641855,0.0,3.804358049067289e-12
DibajakMeng,0.0010787486515641855,0.0,3.804358049067289e-12
archeerl,0.0010787486515641855,0.0,8.750023512854765e-11
